yr,PricesPerBushel,PricePerTon,Deflator2010,Deflator2016,r.P.Ton.b2016,r.P.Ton.b2010
2016,4.89,179.6770223,1,1,179.6770223,178.9421469
2017,4.89,179.6770223,1,1,179.6770223,178.9421469
2018,4.89,179.6770223,1,1,179.6770223,178.9421469
2019,4.89,179.6770223,1,1,179.6770223,178.9421469
2020,4.89,179.6770223,1,1,179.6770223,178.9421469
2021,4.89,179.6770223,1,1,179.6770223,178.9421469
2022,4.89,179.6770223,1,1,179.6770223,178.9421469
2023,4.89,179.6770223,1,1,179.6770223,178.9421469
2024,4.89,179.6770223,1,1,179.6770223,178.9421469
2025,4.89,179.6770223,1,1,179.6770223,178.9421469
2026,4.89,179.6770223,1,1,179.6770223,178.9421469
2027,4.89,179.6770223,1,1,179.6770223,178.9421469
2028,4.89,179.6770223,1,1,179.6770223,178.9421469
2029,4.89,179.6770223,1,1,179.6770223,178.9421469
2030,4.89,179.6770223,1,1,179.6770223,178.9421469
2031,4.89,179.6770223,1,1,179.6770223,178.9421469
2032,4.89,179.6770223,1,1,179.6770223,178.9421469
2033,4.89,179.6770223,1,1,179.6770223,178.9421469
2034,4.89,179.6770223,1,1,179.6770223,178.9421469
2035,4.89,179.6770223,1,1,179.6770223,178.9421469
2036,4.89,179.6770223,1,1,179.6770223,178.9421469
2037,4.89,179.6770223,1,1,179.6770223,178.9421469
2038,4.89,179.6770223,1,1,179.6770223,178.9421469
2039,4.89,179.6770223,1,1,179.6770223,178.9421469
2040,4.89,179.6770223,1,1,179.6770223,178.9421469
2041,4.89,179.6770223,1,1,179.6770223,178.9421469
2042,4.89,179.6770223,1,1,179.6770223,178.9421469
2043,4.89,179.6770223,1,1,179.6770223,178.9421469
2044,4.89,179.6770223,1,1,179.6770223,178.9421469
2045,4.89,179.6770223,1,1,179.6770223,178.9421469
2046,4.89,179.6770223,1,1,179.6770223,178.9421469
2047,4.89,179.6770223,1,1,179.6770223,178.9421469
2048,4.89,179.6770223,1,1,179.6770223,178.9421469
2049,4.89,179.6770223,1,1,179.6770223,178.9421469
2050,4.89,179.6770223,1,1,179.6770223,178.9421469
